DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,C-JJAEP EXPULSIONS=HISPANIC/LATINO,C-JJAEP EXPULSIONS=WHITE,D-EXPULSION ACTIONS=HISPANIC/LATINO,D-EXPULSION ACTIONS=WHITE,E-DAEP PLACEMENTS=HISPANIC/LATINO,E-DAEP PLACEMENTS=WHITE,F-OUT OF SCHOOL SUSPENSIONS=BLACK OR AFRICAN AMERICAN,F-OUT OF SCHOOL SUSPENSIONS=HISPANIC/LATINO,F-OUT OF SCHOOL SUSPENSIONS=WHITE,G-IN SCHOOL SUSPENSIONS=AMERICAN INDIAN OR ALASKA NAT,G-IN SCHOOL SUSPENSIONS=BLACK OR AFRICAN AMERICAN,G-IN SCHOOL SUSPENSIONS=HISPANIC/LATINO,G-IN SCHOOL SUSPENSIONS=NATIVE HAWAIIAN/OTHER PACIFIC,G-IN SCHOOL SUSPENSIONS=WHITE,H-SPEC. ED. JJAEP EXPULSIONS=SPEC. ED. EXPULSIONS TO JJAEP,I-SPEC. ED. EXPULSIONS=SPEC. ED. EXPULSIONS,J-SPEC. ED. DAEP PLACEMENTS=SPEC. ED. DAEP PLACEMENTS,K-SPEC. ED. OUT OF SCHOOL SUS.=SPEC. ED. OUT OF SCHOOL SUSPEN,L-SPEC. ED. IN SCHOOL SUS.=SPEC. ED. IN SCHOOL SUSPEN,M-ECO. DISADV. JJAEP PLACEMENTS=ECO. DISAD. EXPULSION TO JJAEP,N-ECO. DISADV. EXPULSIONS=ECO. DISAD. EXPULSIONS,O-ECO. DISADV. DAEP PLACEMENTS=ECO. DISAD. DAEP PLACEMENTS,P-ECO. DISADV. OUT OF SCHOOL SUS.=ECO. DISAD. OUT OF SCHOOL SUSPEN,E-DAEP PLACEMENTS=BLACK OR AFRICAN AMERICAN,E-DAEP PLACEMENTS=TWO OR MORE RACES,F-OUT OF SCHOOL SUSPENSIONS=AMERICAN INDIAN OR ALASKA NAT,F-OUT OF SCHOOL SUSPENSIONS=ASIAN,F-OUT OF SCHOOL SUSPENSIONS=TWO OR MORE RACES,G-IN SCHOOL SUSPENSIONS=ASIAN,G-IN SCHOOL SUSPENSIONS=TWO OR MORE RACES,E-DAEP PLACEMENTS=AMERICAN INDIAN OR ALASKA NAT,E-DAEP PLACEMENTS=ASIAN,F-OUT OF SCHOOL SUSPENSIONS=NATIVE HAWAIIAN/OTHER PACIFIC,C-JJAEP EXPULSIONS=BLACK OR AFRICAN AMERICAN,D-EXPULSION ACTIONS=BLACK OR AFRICAN AMERICAN,E-DAEP PLACEMENTS=NATIVE HAWAIIAN/OTHER PACIFIC,D-EXPULSION ACTIONS=TWO OR MORE RACES,C-JJAEP EXPULSIONS=ASIAN,D-EXPULSION ACTIONS=ASIAN,C-JJAEP EXPULSIONS=TWO OR MORE RACES,C-JJAEP EXPULSIONS=AMERICAN INDIAN OR ALASKA NAT,D-EXPULSION ACTIONS=AMERICAN INDIAN OR ALASKA NAT,D-EXPULSION ACTIONS=NATIVE HAWAIIAN/OTHER PACIFIC,C-JJAEP EXPULSIONS=NATIVE HAWAIIAN/OTHER PACIFIC,total EXPULSION ACTIONS,total IN SCHOOL SUSPENSIONS,total OUT OF SCHOOL SUSPENSIONS,total DAEP PLACEMENTS,ratio BLACK OR AFRICAN AMERICAN IN SCHOOL SUSPENSIONS vs average,ratio HISPANIC/LATINO IN SCHOOL SUSPENSIONS vs average,ratio WHITE IN SCHOOL SUSPENSIONS vs average,ratio AMERICAN INDIAN OR ALASKA NAT IN SCHOOL SUSPENSIONS vs average,ratio ASIAN IN SCHOOL SUSPENSIONS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC IN SCHOOL SUSPENSIONS vs average,ratio TWO OR MORE RACES IN SCHOOL SUSPENSIONS vs average,ratio BLACK OR AFRICAN AMERICAN OUT OF SCHOOL SUSPENSIONS vs average,ratio HISPANIC/LATINO OUT OF SCHOOL SUSPENSIONS vs average,ratio WHITE OUT OF SCHOOL SUSPENSIONS vs average,ratio AMERICAN INDIAN OR ALASKA NAT OUT OF SCHOOL SUSPENSIONS vs average,ratio ASIAN OUT OF SCHOOL SUSPENSIONS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC OUT OF SCHOOL SUSPENSIONS vs average,ratio TWO OR MORE RACES OUT OF SCHOOL SUSPENSIONS vs average,ratio BLACK OR AFRICAN AMERICAN DAEP PLACEMENTS vs average,ratio HISPANIC/LATINO DAEP PLACEMENTS vs average,ratio WHITE DAEP PLACEMENTS vs average,ratio AMERICAN INDIAN OR ALASKA NAT DAEP PLACEMENTS vs average,ratio ASIAN DAEP PLACEMENTS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC DAEP PLACEMENTS vs average,ratio TWO OR MORE RACES DAEP PLACEMENTS vs average,ratio BLACK OR AFRICAN AMERICAN EXPULSION ACTIONS vs average,ratio HISPANIC/LATINO EXPULSION ACTIONS vs average,ratio WHITE EXPULSION ACTIONS vs average,ratio AMERICAN INDIAN OR ALASKA NAT EXPULSION ACTIONS vs average,ratio ASIAN EXPULSION ACTIONS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC EXPULSION ACTIONS vs average,ratio TWO OR MORE RACES EXPULSION ACTIONS vs average
001902,CAYUGA ISD,07,553,4.9,7.1,81.6,0,1.1,0,5.4,38,13.7,0,0,0,0,0,1,1,1,1,0,1,1,0,39,0,0,1,1,20,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,3,2,0.4859,0.3353,1.1380,1,0,1,0.4409,6.8027,4.6948,0.4085,1,0,1,0,10.2041,0,0.6127,1,0,1,0,1,1,1,1,1,1,1
001903,ELKHART ISD,07,1207,4.2,9,82.3,0.2,1,0.2,3.1,51.5,8.9,0,0,0,1,0,1,1,1,1,0,47,24,1,403,0,0,0,1,61,0,0,1,16,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,476,4,2,2.3509,0.5602,1.0287,0,0,1.0504,0.0678,5.9524,2.7778,0.3038,0,0,0,8.0645,0,0,0.6075,0,0,0,16.1290,0,0,1.2151,0,0,0,0
001904,FRANKSTON ISD,07,762,12.2,8.7,74.9,0.4,0.3,0,3.5,58.4,9.7,0,0,0,0,1,1,1,0,1,1,23,17,0,148,0,0,0,0,34,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,3,3,0.9922,1.0284,1.0400,1.3158,0,1,0.1504,2.7322,0,0.4450,0,0,1,9.5238,2.7322,3.8314,0.4450,0,0,1,0,1,1,1,1,1,1,1
001906,NECHES ISD,07,389,6.4,10.8,80.7,0,0.5,0,1.5,38.6,9,0,0,0,0,0,1,0,0,7,0,1,1,0,33,0,0,0,0,9,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,7,2,0.4340,0.2572,1.1359,1,0,1,1.8519,0,0,1.2392,1,0,1,0,7.8125,0,0.6196,1,0,1,0,1,1,1,1,1,1,1
001907,PALESTINE ISD,07,3263,28,38.6,29,1.3,0.7,0,2.2,75.9,7.8,0,0,0,1,32,1,250,86,93,1,392,265,0,201,0,0,5,56,101,0,0,86,413,41,1,1,1,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,871,432,75,1.6073,0.7882,0.7958,0.0883,0.1640,1,0.5741,2.0668,0.5157,0.7423,0.1781,0.3307,1,0.1052,1.9524,1.1054,0.0460,0,0,1,0.6061,0,0,3.4483,0,0,1,0
001908,WESTWOOD ISD,07,1602,17.5,22,55.2,0.3,0.6,0.2,4.1,61.7,10,0,0,0,0,1,22,57,1,92,0,238,186,0,448,0,0,6,31,114,0,0,18,153,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874,152,25,1.5561,0.9673,0.9286,0,0.1907,0,0.0279,2.1429,0.0299,1.0965,0,1.0965,0,0.1605,0.2286,0.1818,1.5942,0,0,0,0.9756,1,1,1,1,1,1,1
001909,SLOCUM ISD,07,412,1.7,5.3,89.6,0.2,0,0,3.2,47.8,11.9,0,0,0,0,0,7,0,0,1,0,0,1,0,81,0,0,1,1,20,0,0,1,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,2,7,0,0.2273,1.0892,0,1,1,0.3765,0,0,0.5580,0,1,1,15.6250,0,0,1.1161,0,1,1,0,1,1,1,1,1,1,1
002901,ANDREWS ISD,18,3758,1.4,66.3,30,0.3,0.3,0,1.6,42,6.6,0,0,0,0,21,12,0,83,1,0,1,337,0,143,0,0,1,17,41,0,0,15,72,0,0,0,1,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,86,33,0.1443,1.0269,0.9630,0,0.6734,1,1.6414,0,1.4557,0.0388,0,3.8760,1,0.7267,0,0.9598,1.2121,0,0,1,0,1,1,1,1,1,1,1
003801,PINEYWOODS COMMUNITY ACADEMY,07,701,17.4,15.3,63.3,0.1,2.3,0.1,1.4,49.1,6.6,0,0,0,0,0,0,1,1,1,0,48,15,0,87,0,0,0,1,11,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,3,0,1.8149,0.6450,0.9042,0,0.2860,0,0.4699,1.9157,2.1786,0.5266,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
003902,HUDSON ISD,07,2774,5.8,23.3,67.3,1,1,0,1.6,53.9,6.2,0,0,0,0,17,42,27,1,47,6,114,141,1,364,0,0,10,7,83,0,0,65,87,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,628,78,63,3.1298,0.9636,0.8612,0.9554,0.1592,1,0.0995,5.9682,0.0550,0.8953,0,1.2821,1,0.8013,0.2737,1.1581,0.9906,0,1.5873,1,0.9921,1,1,1,1,1,1,1
003903,LUFKIN ISD,07,8383,28.5,39.7,28,0.2,1.5,0.1,1.9,73.5,10.5,0,0,1,1,117,77,465,228,196,1,1504,738,8,449,0,1,117,270,492,0,1,357,809,199,1,1,1,31,1,105,0,1,0,0,5,0,1,0,0,0,0,0,0,0,8,2806,922,395,1.8807,0.6625,0.5715,0.1782,0.0238,2.8510,1.9695,1.7696,0.6229,0.7592,0.5423,0.0723,0,1.7696,1.7677,0.7461,0.6962,0,0.1688,0,0.1332,2.1930,0.3149,0.4464,0,0,0,6.5789
